G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
B80201,Accrual audit fees,Posting,,Balance Sheet,Both,true,false,0,,
B80202,RSSB payable,Posting,,Balance Sheet,Both,true,false,0,,
B80203,RSSB Staff Maternity payable,Posting,,Balance Sheet,Both,true,false,0,,
B80204,RSSB (0.5%),Posting,,Balance Sheet,Both,true,false,0,,
B80205,Deduction Government Loan,Posting,,Balance Sheet,Both,true,false,0,,
I10021,Interest Income,Posting,Income,Income Statement,Both,true,false,0,,
I10035,Sundry Income,Posting,Income,Income Statement,Both,true,false,0,,
I10053,Insurance Commission - Medical,Posting,Income,Income Statement,Both,true,false,0,,
I10060,Actuarial - Once-off,Posting,Income,Income Statement,Both,true,false,0,,
I10071,MC-ADMN FEES,Posting,Income,Income Statement,Both,true,false,0,,
I25001,Emol.Pack-Salaries,Posting,Income,Income Statement,Both,true,false,0,,
I25003,Emol.Pack-Med.Contribut.,Posting,Income,Income Statement,Both,true,false,0,,
I25004,Emol.Pack-Pens.Contribut.,Posting,Income,Income Statement,Both,true,false,0,,
I25005,Emol.Pack-Other,Posting,Income,Income Statement,Both,true,false,0,,
I25027,Training INTERNAL,Posting,Income,Income Statement,Both,true,false,0,,
I25029,Other Staff Costs,Posting,Income,Income Statement,Both,true,false,0,,
I25071,Prem-Cleaning,Posting,Income,Income Statement,Both,true,false,0,,
I25078,Prem-Maint.Offices,Posting,Income,Income Statement,Both,true,false,0,,
I25079,Prem-Rental(EXTERNAL),Posting,Income,Income Statement,Both,true,false,0,,
I25080,Prem-Parking(EXTERNAL),Posting,Income,Income Statement,Both,true,false,0,,
I25111,Printing-General,Posting,Income,Income Statement,Both,true,false,0,,
I25144,Prof.Fees-Legal,Posting,Income,Income Statement,Both,true,false,0,,
I25147,Consultants Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25182,Trav. Accom.,Posting,Income,Income Statement,Both,true,false,0,,
I25203,Bus.Advert-General,Posting,Income,Income Statement,Both,true,false,0,,
I25231,Postage,Posting,Income,Income Statement,Both,true,false,0,,
I25232,Telephone-Variable,Posting,Income,Income Statement,Both,true,false,0,,
I25234,Cellular Phone Expenses,Posting,Income,Income Statement,Both,true,false,0,,
I25261,MV-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25262,S/ware Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25264,Furn-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25291,Entertainment-(IN TOWN),Posting,Income,Income Statement,Both,true,false,0,,
I25360,Bank Charges,Posting,Income,Income Statement,Both,true,false,0,,
I25367,Summary:Gen Exp Other,Posting,Income,Income Statement,Both,true,false,0,,
I25380,Board Expenses,Posting,Income,Income Statement,Both,true,false,0,,
I25381,Tenders,Posting,Income,Income Statement,Both,true,false,0,,
I25403,Insurance-Other,Posting,Income,Income Statement,Both,true,false,0,,
I25423,Comp-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25429,Software Licence Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25431,Summary:IT Recoveries,Posting,Income,Income Statement,Both,true,false,0,,
I25453,MV-Fuel Costs,Posting,Income,Income Statement,Both,true,false,0,,
I25454,MV-Running Costs,Posting,Income,Income Statement,Both,true,false,0,,
