G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
B65160,  Placements,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70290,Premiums payable,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70235,Salaries and Wages,Posting,Assets,Balance Sheet,Both,true,false,0,,
1020/080,Commission,Posting,Expense,Income Statement,Both,true,false,0,,
I25001,  Emol.Pack-Salaries,Posting,Income,Income Statement,Both,true,false,0,,
I25003,  Emol.Pack-Med.Contribut.,Posting,Income,Income Statement,Both,true,false,0,,
I25005,  Emol.Pack-Other,Posting,Income,Income Statement,Both,true,false,0,,
I25019,  Bonuses & 13th cheque,Posting,Income,Income Statement,Both,true,false,0,,
I25020,  Temporary Staff-General,Posting,Income,Income Statement,Both,true,false,0,,
I25026,  Training EXTERNAL,Posting,Income,Income Statement,Both,true,false,0,,
I25029,  Other Staff Costs,Posting,Income,Income Statement,Both,true,false,0,,
I25032,  Commissions - Lead,Posting,Income,Income Statement,Both,true,false,0,,
I25072,  Prem-Electricity,Posting,Income,Income Statement,Both,true,false,0,,
I25075,  Prem-Water,Posting,Income,Income Statement,Both,true,false,0,,
I25080,  Prem-Parking(EXTERNAL),Posting,Income,Income Statement,Both,true,false,0,,
I25082,  Prem-Rental(INTERNAL),Posting,Income,Income Statement,Both,true,false,0,,
I25111,  Printing-General,Posting,Income,Income Statement,Both,true,false,0,,
I25114,  Stationery-General,Posting,Income,Income Statement,Both,true,false,0,,
I25141,  Prof.Fees-Audit Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25144,  Prof.Fees-Legal,Posting,Income,Income Statement,Both,true,false,0,,
I25145,  Prof.Fees-Other,Posting,Income,Income Statement,Both,true,false,0,,
I25181,    Trav. Air Fares,Posting,Income,Income Statement,Both,true,false,0,,
I25182,    Trav. Accom.,Posting,Income,Income Statement,Both,true,false,0,,
I25193,Conference Attended by us,Posting,Income,Income Statement,Both,true,false,0,,
I25203,    Bus.Advert-General,Posting,Income,Income Statement,Both,true,false,0,,
I25205,    Sponsorships-General,Posting,Income,Income Statement,Both,true,false,0,,
I25206,    Printing-Brochures,Posting,Income,Income Statement,Both,true,false,0,,
I25232,    Telephone-Variable,Posting,Income,Income Statement,Both,true,false,0,,
I25236,    Courier Services Cost,Posting,Income,Income Statement,Both,true,false,0,,
I25261,MV-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25263,    Bldg.Imp.(L/Hold)-Deprec,Posting,Income,Income Statement,Both,true,false,0,,
I25264,    Furn-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25265,    Equip-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25291,    Entertainment-(IN TOWN),Posting,Income,Income Statement,Both,true,false,0,,
I25294,    Christmas Party,Posting,Income,Income Statement,Both,true,false,0,,
I25358,    Subscriptions General,Posting,Income,Income Statement,Both,true,false,0,,
I25360,    Bank Charges,Posting,Income,Income Statement,Both,true,false,0,,
I25367,    Summary:Gen Exp Other,Posting,Income,Income Statement,Both,true,false,0,,
I25373,    Other/Miscellaneous Suspense Acc,Posting,Income,Income Statement,Both,true,false,0,,
I25378,    LOSS/GAIN ON DISPOSAL,Posting,Income,Income Statement,Both,true,false,0,,
I25401,    Insurance-P.I.,Posting,Income,Income Statement,Both,true,false,0,,
I25421,    Toner,Posting,Income,Income Statement,Both,true,false,0,,
I25422,    PC Supplies,Posting,Income,Income Statement,Both,true,false,0,,
I25423,    Comp-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25429,    Software Licence Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25452,    MV-Leasing Costs,Posting,Income,Income Statement,Both,true,false,0,,
I25453,    MV-Fuel Costs,Posting,Income,Income Statement,Both,true,false,0,,
I25454,    MV-Running Costs,Posting,Income,Income Statement,Both,true,false,0,,
I25455,    MV - Leasing Costs (non personnel),Posting,Income,Income Statement,Both,true,false,0,,
I25456,    MV - Fuel Costs (non personnel),Posting,Income,Income Statement,Both,true,false,0,,
I25457,    MV - Running Costs (non personnel),Posting,Income,Income Statement,Both,true,false,0,,
I25159,Management Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25147,  Consultants Fees,Posting,Income,Income Statement,Both,true,false,0,,
4000/000,Leasehold-Depreciation,Posting,Expense,Income Statement,Both,true,false,0,,
